County,State,Value,Category Range,Year
Bucks,PA,126,37.8 - 172.3 (647),2016-2018
Buena Vista,VA,105.2,37.8 - 172.3 (647),2016-2018
Buena Vista,IA,217.4,215.2 - 263.3 (645),2016-2018
Buffalo,WI,159.8,37.8 - 172.3 (647),2016-2018
Buffalo,NE,193.7,172.4 - 215.1 (641),2016-2018
Buffalo,SD,231.2,215.2 - 263.3 (645),2016-2018
Bullitt,KY,227.1,215.2 - 263.3 (645),2016-2018
Bulloch,GA,446.3,329.3 - 1136.3 (644),2016-2018
Bullock,AL,322.5,263.4 - 329.2 (643),2016-2018
Buncombe,NC,128.9,37.8 - 172.3 (647),2016-2018
Bureau,IL,80.4,37.8 - 172.3 (647),2016-2018
Burke,ND,185.5,172.4 - 215.1 (641),2016-2018
Burke,NC,370.3,329.3 - 1136.3 (644),2016-2018
Burke,GA,561.5,329.3 - 1136.3 (644),2016-2018
Burleigh,ND,153.9,37.8 - 172.3 (647),2016-2018
Burleson,TX,288.4,263.4 - 329.2 (643),2016-2018
Burlington,NJ,172,37.8 - 172.3 (647),2016-2018
Burnet,TX,255.8,215.2 - 263.3 (645),2016-2018
Burnett,WI,198.1,172.4 - 215.1 (641),2016-2018
Burt,NE,256.7,215.2 - 263.3 (645),2016-2018
Butler,MO,118.6,37.8 - 172.3 (647),2016-2018
Butler,KS,130.8,37.8 - 172.3 (647),2016-2018
Butler,PA,164.3,37.8 - 172.3 (647),2016-2018
Butler,OH,233.8,215.2 - 263.3 (645),2016-2018
Butler,NE,299.7,263.4 - 329.2 (643),2016-2018
Butler,IA,302.2,263.4 - 329.2 (643),2016-2018
Butler,KY,303.9,263.4 - 329.2 (643),2016-2018
Butler,AL,306.8,263.4 - 329.2 (643),2016-2018
Butte,ID,150.5,37.8 - 172.3 (647),2016-2018
Butte,SD,210.2,172.4 - 215.1 (641),2016-2018
Butte,CA,379.8,329.3 - 1136.3 (644),2016-2018
Butts,GA,327.2,263.4 - 329.2 (643),2016-2018
Cabarrus,NC,161.3,37.8 - 172.3 (647),2016-2018
Cabell,WV,345.2,329.3 - 1136.3 (644),2016-2018
Cabo Rojo,PR,327.6,263.4 - 329.2 (643),2016-2018
Cache,UT,186.3,172.4 - 215.1 (641),2016-2018
Caddo,OK,497.5,329.3 - 1136.3 (644),2016-2018
Caddo,LA,857.9,329.3 - 1136.3 (644),2016-2018
Caguas,PR,343.3,329.3 - 1136.3 (644),2016-2018
Calaveras,CA,203.6,172.4 - 215.1 (641),2016-2018
Calcasieu,LA,364.8,329.3 - 1136.3 (644),2016-2018
Caldwell,NC,166.6,37.8 - 172.3 (647),2016-2018
Caldwell,LA,184.4,172.4 - 215.1 (641),2016-2018
Caldwell,MO,195.1,172.4 - 215.1 (641),2016-2018
Caldwell,TX,255.8,215.2 - 263.3 (645),2016-2018
Caldwell,KY,261,215.2 - 263.3 (645),2016-2018
Caledonia,VT,313.1,263.4 - 329.2 (643),2016-2018
