FIPS,year,percent_65plus,percent_smokers,pct_diabetes,pct_obese,copd_death_rate,hypertension_death_rate,total_heart_disease_death_rate
08009,2010,24.139742579458893,,5.6,21.7,52.97,120.1,407.1
08011,2010,13.553846153846155,,6.2,23.9,113.43,174.2,424.6
08013,2010,10.126187562915838,13.4,4.9,14.7,52.86,77.4,310.1
08014,2010,9.931348486465335,14.99,5.6,20,52.86,,
08015,2010,19.968553459119498,18.17,4.8,15.9,42.57,120,348.0
08017,2010,18.057828696126567,,6,23,75.74,166.3,398.3
08019,2010,12.605967191456568,,4.9,15.9,44.5,89.9,311.6
08021,2010,15.29114533205005,,5.1,17.5,54.33,194.5,504.6
08023,2010,23.066024369509776,,5.6,20.2,36.34,151.4,384.7
08025,2010,10.66370926463061,,6.6,24,98.48,200.2,344.0
08027,2010,22.59873802290255,,5.7,20.7,38.79,204.8,384.8
08029,2010,20.24951393389501,22.09,6,21.5,52.13,95.9,396.7
08031,2010,10.35254301336352,21.12,6.5,18.3,52.86,162.8,379.4
08033,2010,19.13968100531658,10.38,5.6,20.7,57.56,117.5,346.8
08035,2010,7.246573767235702,8.92,4.4,15.9,31.58,108.2,272.7
08037,2010,5.796656365765178,15.079999999999998,4.4,13.2,20.45,87.1,185.8
08039,2010,9.73122461325728,19.74,4.6,19.5,48.81,119,302.8
08041,2010,9.982122096036719,19.75,5.9,21.2,50.86,186.5,353.9
08043,2010,17.63990007899737,27.689999999999998,7.4,22.2,67.75,339.3,445.1
08045,2010,8.499785989442147,19.46,5.3,17.2,48.62,123.4,287.0
08047,2010,9.54121732772802,,5.6,18.9,39.83,101.6,320.2
08049,2010,10.448769937821032,18.12,5.3,17.6,29.88,63.6,278.2
08051,2010,8.894120724609248,14.62,4.8,15.9,42.54,65.9,344.2
08053,2010,17.535545023696685,,5.4,19.1,31.52,90.6,303.0
08055,2010,25.505163897620115,,5.8,20.7,68.92,167.4,397.9
08057,2010,18.57451403887689,15.989999999999998,5.3,21.4,41.7,126.1,332.0
08059,2010,12.694660422595176,19.48,5.2,19.2,52.86,109.9,320.1
08061,2010,21.50997150997151,,5.7,24.9,79.93,256.4,405.1
08063,2010,15.902214692000486,,6.5,27.3,69.35,85.9,381.8
08065,2010,8.934471365638766,,5.1,18.9,47.49,83.5,309.8
08067,2010,11.740678065005545,20.51,5.3,16.4,41.13,139.4,310.0
08069,2010,11.938783321850213,16.72,4.9,19.1,40.11,131.7,339.0
08071,2010,17.922448450265854,33.4,6.1,24.2,46.27,191.7,410.5
08073,2010,16.779382197038935,,6.7,23.1,65.19,158.7,341.0
08075,2010,14.659340659340659,28.99,6.3,23.6,55.68,213.1,371.6
08077,2010,14.9960002461387,20.830000000000002,5.9,22.2,62.49,155.8,408.2
08079,2010,23.295454545454543,,5.1,19.2,47.71,88.9,391.6
08081,2010,10.475569088009278,23.8,6.2,23.6,71.46,104.5,402.0
08083,2010,16.824366593681578,23.13,5.6,21.7,74.13,144.2,379.0
08085,2010,17.947846355557715,18.13,5.1,20,54.53,178.9,416.4
08087,2010,14.12131298466768,20.560000000000002,6.6,29.1,57.58,191.1,373.9
08089,2010,18.38379553528819,20.69,6,25.5,105.28,262.5,424.9
08091,2010,17.61669658886894,,5.3,16.8,28.6,43.6,355.2
08093,2010,11.831193562258125,18.15,4.5,17.5,31.51,103,277.3
08095,2010,20.54150816737525,,6,22.7,48.27,434.3,358.1
08097,2010,11.699895068205667,6.6000000000000005,4.6,13.9,14.57,101.3,210.3
08099,2010,14.738939816660023,19.63,6.3,25.3,91.04,259.6,406.2
08101,2010,15.3353409875149,25.27,7.7,26.5,69.7,177.2,396.4
08103,2010,12.57738185112487,18.81,5.6,20.7,62.73,144,300.3
08105,2010,16.243865923646343,18.89,6.1,22.5,73.09,110.7,503.4
08107,2010,8.278569599726893,15.129999999999999,3.5,13.2,41.56,122,267.4
08109,2010,14.683833116036507,,4.7,22.6,55.85,81.7,331.7
08111,2010,12.005649717514125,,5.5,19.7,46.3,120.6,345.9
08113,2010,7.244800869919804,,5.1,16.6,27.22,41.8,316.9
08115,2010,23.87178405735976,,5.5,24.1,62.58,193.4,376.7
08117,2010,7.854522138709792,11.940000000000001,4.5,14.4,11.25,51.9,190.6
08119,2010,13.16630448676978,20.72,5.7,16.8,38.93,214.2,350.1
08121,2010,19.373573947313837,8.3,5.6,23.1,61.29,155.7,351.4
08123,2010,9.639781752666133,18.19,6.3,25.4,52.86,193.6,368.4
08125,2010,16.21056821574286,,5.2,25,56.75,81.1,361.4
09001,2010,13.55308885033529,14.57,6.4,18.2,28.04,139.1,357.1
09003,2010,14.5864330746306,17.419999999999998,7.6,24.3,34.49,130.5,392.1
09005,2010,16.08585446056397,18.360000000000003,6.5,21.1,44.43,109.1,415.0
09007,2010,15.560090812481885,16.189999999999998,6.9,23.2,37.56,117,366.6
09009,2010,14.41350449466443,18.44,8.6,27.1,36.11,151.6,371.6
09011,2010,14.304170742032962,19.509999999999998,7.1,24.5,46.86,144.2,402.9
09013,2010,11.953223396132838,17.11,7,22.9,39.54,147.4,403.9
09015,2010,12.898164394655149,23.03,9.4,29.5,54.62,160.6,432.9
10001,2010,13.59630820589607,23.919999999999998,10.9,33.5,53.0,268.4,484.0
10003,2010,12.345383404609171,20.25,7.9,26.3,42.09,174.8,418.1
10005,2010,20.937918488010713,22.720000000000002,9,29.5,43.46,218,444.9
11001,2010,11.417718339925912,19.23,8.8,21.4,24.46,,
12001,2010,10.847124960624198,19.31,7.8,25.3,42.37,222.1,389.6
12003,2010,10.976871351511122,32.11,12.9,36.4,85.02,263.9,531.9
12005,2010,14.56685933122939,23.77,9.3,28.4,68.99,281.1,478.0
12007,2010,14.45542472666106,26.71,12.2,35.8,66.83,267.2,456.7
12009,2010,20.444881564071217,25.119999999999997,9.9,28.5,47.68,173.4,402.4
12011,2010,14.277873782735423,16.53,8.4,23.8,36.18,111.2,403.8
12013,2010,15.620946268860516,,12.3,36.3,77.28,298.6,497.7
12015,2010,34.3687255668491,22.96,8.7,26.2,39.24,112.9,345.8
12017,2010,31.982744575804155,22.43,9.1,30.2,60.25,187,512.1
12019,2010,11.785260980616451,27.33,10.3,27.8,63.77,222.4,465.1
12021,2010,26.57069077224015,16.86,7.5,21.2,26.84,109.7,280.6
12023,2010,15.454531997098576,21.58,11.4,35,77.35,282.3,509.3
12027,2010,17.985343791149024,19.29,11.3,34.9,44.19,,
12029,2010,19.54268292682927,22.67,11.2,35.8,71.27,267.6,499.5
12031,2010,11.174892679072304,21.25,10.6,28.1,55.07,264.9,492.4
12033,2010,14.439433897690899,24.77,11.4,30.1,59.34,208.3,501.3
12035,2010,24.60391813961235,21.58,8.8,28.6,36.07,127.4,341.1
12037,2010,17.488283284152057,22.15,8.7,26.2,65.57,224.9,461.9
12039,2010,13.342678997363686,20.93,12.9,37.2,43.25,291.8,490.1
12041,2010,16.99411764705882,21.42,9.3,32.2,63.2,236.4,453.0
12043,2010,21.641153158753593,,10.4,36.5,39.13,150.8,345.7
12045,2010,16.53080568720379,26.35,10.2,31.1,69.14,278.8,478.0
12047,2010,13.369202479057412,,13.3,37.2,64.77,264.2,514.2
12049,2010,12.9138117562207,20.22,12.7,37,52.19,222.6,402.4
12051,2010,11.533235919915917,19.78,11.3,34.4,52.65,168.1,415.1
12053,2010,25.826015066283553,25.259999999999998,9.1,29.4,52.92,182.7,411.6
12055,2010,32.28468596340042,20.31,9.7,31.6,53.84,159,378.5
12057,2010,11.853768713042097,23.09,10.2,26.5,47.54,272.7,424.4
12059,2010,17.275613566497,26.16,13.2,30.6,87.56,262.5,709.1
12061,2010,27.253923483040428,17.31,8.7,22.4,32.95,214.8,335.0
12063,2010,15.825410892684499,22.35,11.3,33.9,55.36,163.8,551.2
12065,2010,16.706201287699084,22.43,11.4,35.2,45.09,238.3,451.9
12067,2010,12.37511353315168,19.25,11.1,34.6,68.86,237,515.7
12069,2010,24.24615984064976,20.549999999999997,9.3,29.8,38.93,162.9,380.8
12071,2010,23.61144912797023,24.69,8.1,26.8,35.62,146.9,332.5
12073,2010,9.51331842838559,18.360000000000003,9.8,28.1,41.05,211.8,417.0
12075,2010,19.50392927308448,21.95,10.4,33.7,63.71,254.7,484.5
12077,2010,10.80368906455863,,12,35.3,79.21,229.7,491.8
12079,2010,15.980881130507067,27.67,12.7,36.3,48.74,259.4,624.7
12081,2010,23.36777728307114,19.08,8.7,25.5,34.99,148,382.6
12083,2010,25.854508029734617,23.5,9.4,32.8,48.49,218.5,433.8
12085,2010,27.37204664111797,19.66,6.3,20.5,39.97,97.4,284.8
12086,2010,14.12883749798562,15.82,8.3,21.6,29.77,146.5,395.1
12087,2010,17.215241737230265,25.31,6.1,18.6,34.31,132,338.6
12089,2010,16.4079822616408,21.94,8.6,27.6,59.59,175,412.8
12091,2010,14.037572974019866,21.77,8.8,28.4,63.59,194.4,408.6
12093,2010,17.039350405996252,25.979999999999997,8.9,31.9,67.13,162.3,486.3
