County,State,Value,Category Range,Year
Furnas,NE,393.5,378.1 - 427.2 (645),2016-2018
Seminole,FL,393.6,378.1 - 427.2 (645),2016-2018
DeKalb,IL,393.6,378.1 - 427.2 (645),2016-2018
Rawlins,KS,393.8,378.1 - 427.2 (645),2016-2018
Caswell,NC,393.8,378.1 - 427.2 (645),2016-2018
Macon,NC,393.9,378.1 - 427.2 (645),2016-2018
Polk,WI,393.9,378.1 - 427.2 (645),2016-2018
Converse,WY,393.9,378.1 - 427.2 (645),2016-2018
Republic,KS,394,378.1 - 427.2 (645),2016-2018
McMullen,TX,394.1,378.1 - 427.2 (645),2016-2018
Amador,CA,394.2,378.1 - 427.2 (645),2016-2018
Hodgeman,KS,394.5,378.1 - 427.2 (645),2016-2018
Poweshiek,IA,394.5,378.1 - 427.2 (645),2016-2018
Washington,OH,394.5,378.1 - 427.2 (645),2016-2018
Garfield,WA,394.5,378.1 - 427.2 (645),2016-2018
Terrell,TX,394.6,378.1 - 427.2 (645),2016-2018
Jackson,NC,394.6,378.1 - 427.2 (645),2016-2018
Clinton,NY,394.6,378.1 - 427.2 (645),2016-2018
Noble,OH,394.7,378.1 - 427.2 (645),2016-2018
Las Animas,CO,394.8,378.1 - 427.2 (645),2016-2018
York,PA,394.9,378.1 - 427.2 (645),2016-2018
Beadle,SD,395,378.1 - 427.2 (645),2016-2018
Highlands,FL,395,378.1 - 427.2 (645),2016-2018
McPherson,KS,395,378.1 - 427.2 (645),2016-2018
Harlan,NE,395,378.1 - 427.2 (645),2016-2018
Richland,MT,395,378.1 - 427.2 (645),2016-2018
Saline,KS,395.1,378.1 - 427.2 (645),2016-2018
Stafford,KS,395.2,378.1 - 427.2 (645),2016-2018
Lac qui Parle,MN,395.5,378.1 - 427.2 (645),2016-2018
Clatsop,OR,395.5,378.1 - 427.2 (645),2016-2018
Osceola,IA,395.6,378.1 - 427.2 (645),2016-2018
Pasco,FL,395.7,378.1 - 427.2 (645),2016-2018
Winchester,VA,395.7,378.1 - 427.2 (645),2016-2018
Johnson,NE,395.9,378.1 - 427.2 (645),2016-2018
Baker,OR,396,378.1 - 427.2 (645),2016-2018
Frederick,MD,396,378.1 - 427.2 (645),2016-2018
Mifflin,PA,396,378.1 - 427.2 (645),2016-2018
Allegan,MI,396.1,378.1 - 427.2 (645),2016-2018
Hitchcock,NE,396.1,378.1 - 427.2 (645),2016-2018
Hall,NE,396.2,378.1 - 427.2 (645),2016-2018
Morgan,UT,396.2,378.1 - 427.2 (645),2016-2018
Madison,VA,396.3,378.1 - 427.2 (645),2016-2018
Washtenaw,MI,396.3,378.1 - 427.2 (645),2016-2018
Seneca,NY,396.6,378.1 - 427.2 (645),2016-2018
Hardee,FL,396.6,378.1 - 427.2 (645),2016-2018
Lincoln,WI,396.6,378.1 - 427.2 (645),2016-2018
Ransom,ND,396.7,378.1 - 427.2 (645),2016-2018
Big Stone,MN,396.7,378.1 - 427.2 (645),2016-2018
Kalamazoo,MI,396.8,378.1 - 427.2 (645),2016-2018
Twin Falls,ID,396.8,378.1 - 427.2 (645),2016-2018
Rio Grande,CO,396.9,378.1 - 427.2 (645),2016-2018
Wibaux,MT,396.9,378.1 - 427.2 (645),2016-2018
Cabarrus,NC,397,378.1 - 427.2 (645),2016-2018
Switzerland,IN,397.2,378.1 - 427.2 (645),2016-2018
Polk,NC,397.3,378.1 - 427.2 (645),2016-2018
Aroostook,ME,397.3,378.1 - 427.2 (645),2016-2018
Carroll,VA,397.3,378.1 - 427.2 (645),2016-2018
Cottonwood,MN,397.4,378.1 - 427.2 (645),2016-2018
Elmore,ID,397.4,378.1 - 427.2 (645),2016-2018
Douglas,IL,397.4,378.1 - 427.2 (645),2016-2018
Owyhee,ID,397.5,378.1 - 427.2 (645),2016-2018
Plumas,CA,397.7,378.1 - 427.2 (645),2016-2018
Kerr,TX,397.8,378.1 - 427.2 (645),2016-2018
Buckingham,VA,397.9,378.1 - 427.2 (645),2016-2018
Grand Traverse,MI,397.9,378.1 - 427.2 (645),2016-2018
Hickory,MO,397.9,378.1 - 427.2 (645),2016-2018
Garfield,MT,398,378.1 - 427.2 (645),2016-2018
Pawnee,NE,398.1,378.1 - 427.2 (645),2016-2018
Crawford,IA,398.1,378.1 - 427.2 (645),2016-2018
Calhoun,IL,398.2,378.1 - 427.2 (645),2016-2018
Ferry,WA,398.2,378.1 - 427.2 (645),2016-2018
Orange,NY,398.3,378.1 - 427.2 (645),2016-2018
Gooding,ID,398.4,378.1 - 427.2 (645),2016-2018
Dewey,SD,398.4,378.1 - 427.2 (645),2016-2018
Wabaunsee,KS,398.5,378.1 - 427.2 (645),2016-2018
Logan,ND,398.5,378.1 - 427.2 (645),2016-2018
Golden Valley,ND,398.5,378.1 - 427.2 (645),2016-2018
Bon Homme,SD,398.6,378.1 - 427.2 (645),2016-2018
Henrico,VA,398.6,378.1 - 427.2 (645),2016-2018
Manitowoc,WI,398.7,378.1 - 427.2 (645),2016-2018
Door,WI,398.7,378.1 - 427.2 (645),2016-2018
Queen Anne's,MD,398.8,378.1 - 427.2 (645),2016-2018
Polk,IA,398.8,378.1 - 427.2 (645),2016-2018
Cherokee,GA,398.8,378.1 - 427.2 (645),2016-2018
Jerome,ID,398.9,378.1 - 427.2 (645),2016-2018
Pipestone,MN,398.9,378.1 - 427.2 (645),2016-2018
Franklin County,VA,399,378.1 - 427.2 (645),2016-2018
Montgomery,VA,399.1,378.1 - 427.2 (645),2016-2018
Powell,MT,399.1,378.1 - 427.2 (645),2016-2018
Towner,ND,399.1,378.1 - 427.2 (645),2016-2018
Sanders,MT,399.3,378.1 - 427.2 (645),2016-2018
Worth,IA,399.3,378.1 - 427.2 (645),2016-2018
Fremont,CO,399.3,378.1 - 427.2 (645),2016-2018
Greenlee,AZ,399.3,378.1 - 427.2 (645),2016-2018
Person,NC,399.4,378.1 - 427.2 (645),2016-2018
Morgan,OH,399.5,378.1 - 427.2 (645),2016-2018
Columbia,WI,399.5,378.1 - 427.2 (645),2016-2018
Guánica,PR,399.5,378.1 - 427.2 (645),2016-2018
Eau Claire,WI,399.7,378.1 - 427.2 (645),2016-2018
Lampasas,TX,399.7,378.1 - 427.2 (645),2016-2018
Liberty,MT,399.7,378.1 - 427.2 (645),2016-2018
Hot Springs,WY,399.8,378.1 - 427.2 (645),2016-2018
Brown,IN,399.9,378.1 - 427.2 (645),2016-2018
Kitsap,WA,400,378.1 - 427.2 (645),2016-2018
Hood,TX,400.3,378.1 - 427.2 (645),2016-2018
Caledonia,VT,400.3,378.1 - 427.2 (645),2016-2018
Columbia,OR,400.5,378.1 - 427.2 (645),2016-2018
Cochise,AZ,400.6,378.1 - 427.2 (645),2016-2018
Alexander,NC,400.8,378.1 - 427.2 (645),2016-2018
Judith Basin,MT,400.8,378.1 - 427.2 (645),2016-2018
Bell,TX,400.8,378.1 - 427.2 (645),2016-2018
Marquette,WI,400.9,378.1 - 427.2 (645),2016-2018
Washburn,WI,400.9,378.1 - 427.2 (645),2016-2018
Audubon,IA,400.9,378.1 - 427.2 (645),2016-2018
Louisa,VA,401,378.1 - 427.2 (645),2016-2018
Kane,UT,401,378.1 - 427.2 (645),2016-2018
Hood River,OR,401.1,378.1 - 427.2 (645),2016-2018
Richland,WI,401.2,378.1 - 427.2 (645),2016-2018
Dimmit,TX,401.3,378.1 - 427.2 (645),2016-2018
Posey,IN,401.4,378.1 - 427.2 (645),2016-2018
Brazos,TX,401.5,378.1 - 427.2 (645),2016-2018
Kootenai,ID,401.9,378.1 - 427.2 (645),2016-2018
Jim Hogg,TX,402.1,378.1 - 427.2 (645),2016-2018
Roberts,SD,402.1,378.1 - 427.2 (645),2016-2018
Cortland,NY,402.2,378.1 - 427.2 (645),2016-2018
Red Willow,NE,402.2,378.1 - 427.2 (645),2016-2018
Lincoln,ME,402.2,378.1 - 427.2 (645),2016-2018
Wilkes,NC,402.4,378.1 - 427.2 (645),2016-2018
Ulster,NY,402.5,378.1 - 427.2 (645),2016-2018
Windham,CT,402.5,378.1 - 427.2 (645),2016-2018
Scott,IA,402.8,378.1 - 427.2 (645),2016-2018
Knox,ME,402.9,378.1 - 427.2 (645),2016-2018
Montour,PA,403,378.1 - 427.2 (645),2016-2018
Fremont,WY,403.1,378.1 - 427.2 (645),2016-2018
Seward,NE,403.1,378.1 - 427.2 (645),2016-2018
Shelby,AL,403.1,378.1 - 427.2 (645),2016-2018
Colusa,CA,403.1,378.1 - 427.2 (645),2016-2018
Belknap,NH,403.3,378.1 - 427.2 (645),2016-2018
Alamance,NC,403.3,378.1 - 427.2 (645),2016-2018
Greene,OH,403.3,378.1 - 427.2 (645),2016-2018
Mineral,MT,403.5,378.1 - 427.2 (645),2016-2018
Christian,MO,403.6,378.1 - 427.2 (645),2016-2018
Hillsborough,FL,403.6,378.1 - 427.2 (645),2016-2018
Rock,MN,403.7,378.1 - 427.2 (645),2016-2018
Platte,NE,403.7,378.1 - 427.2 (645),2016-2018
Polk,NE,403.7,378.1 - 427.2 (645),2016-2018
Bath,VA,403.7,378.1 - 427.2 (645),2016-2018
Greenville,SC,403.7,378.1 - 427.2 (645),2016-2018
Providence,RI,403.8,378.1 - 427.2 (645),2016-2018
Miner,SD,403.8,378.1 - 427.2 (645),2016-2018
Lake,OR,403.9,378.1 - 427.2 (645),2016-2018
Okaloosa,FL,403.9,378.1 - 427.2 (645),2016-2018
Washington,KS,403.9,378.1 - 427.2 (645),2016-2018
Ellis,KS,404,378.1 - 427.2 (645),2016-2018
Sanborn,SD,404,378.1 - 427.2 (645),2016-2018
Walworth,WI,404,378.1 - 427.2 (645),2016-2018
Forsyth,NC,404.1,378.1 - 427.2 (645),2016-2018
Campbell,WY,404.3,378.1 - 427.2 (645),2016-2018
Woodford,KY,404.4,378.1 - 427.2 (645),2016-2018
Hamilton,IA,404.4,378.1 - 427.2 (645),2016-2018
Dixon,NE,404.7,378.1 - 427.2 (645),2016-2018
Stanton,KS,404.8,378.1 - 427.2 (645),2016-2018
Fairbanks North Star,AK,404.9,378.1 - 427.2 (645),2016-2018
Vernon,WI,404.9,378.1 - 427.2 (645),2016-2018
Conejos,CO,405,378.1 - 427.2 (645),2016-2018
Winneshiek,IA,405,378.1 - 427.2 (645),2016-2018
Menard,IL,405,378.1 - 427.2 (645),2016-2018
Jerauld,SD,405.2,378.1 - 427.2 (645),2016-2018
Franklin,PA,405.2,378.1 - 427.2 (645),2016-2018
Charlottesville,VA,405.3,378.1 - 427.2 (645),2016-2018
Carroll,IA,405.3,378.1 - 427.2 (645),2016-2018
Traverse,MN,405.4,378.1 - 427.2 (645),2016-2018
Graham,AZ,405.5,378.1 - 427.2 (645),2016-2018
Oconee,GA,405.5,378.1 - 427.2 (645),2016-2018
